quadra;area_construida_vertical_2013;area_construida_vertical_2023;delta_pde
012015;2046.0;2046.0;0.0
012016;44489.0;44655.0;166.0
012020;10949.0;27159.0;16210.0
012021;25070.0;40783.0;15713.0
012022;39616.0;39616.0;0.0
012023;20751.0;20751.0;0.0
012025;176.0;176.0;0.0
012027;62529.0;62529.0;0.0
012028;33671.0;33671.0;0.0
012033;1013.0;19826.0;18813.0
012034;25106.0;49412.0;24306.0
012035;43945.0;43945.0;0.0
012037;12246.0;12246.0;0.0
012040;12727.0;19623.0;6896.0
012042;182.0;33228.0;33046.0
012043;240.0;240.0;0.0
012044;3021.0;5129.0;2108.0
012045;23359.0;23359.0;0.0
012048;11000.0;11000.0;0.0
012049;540.0;540.0;0.0
012051;10231.0;10231.0;0.0
012052;465.0;465.0;0.0
012053;11038.0;39855.0;28817.0
012057;27160.0;27160.0;0.0
012058;9786.0;9786.0;0.0
012059;63787.0;63787.0;0.0
012060;18134.0;18134.0;0.0
012062;2668.0;2668.0;0.0
012063;4326.0;4695.0;369.0
012065;419.0;419.0;0.0
012067;8119.0;8119.0;0.0
012068;64472.0;75102.0;10630.0
012070;68764.0;68764.0;0.0
012071;2606.0;11958.0;9352.0
012072;57820.0;57820.0;0.0
012073;48763.0;62355.0;13592.0
012074;51752.0;51752.0;0.0
012075;38304.0;54715.0;16411.0
012076;4613.0;17694.0;13081.0
012077;7366.0;15973.0;8607.0
012078;33861.0;38904.0;5043.0
012081;2298.0;28714.0;26416.0
012082;33702.0;53616.0;19914.0
012083;6058.0;12707.0;6649.0
012084;656.0;656.0;0.0
012085;17317.0;17317.0;0.0
012086;42246.0;54898.0;12652.0
012088;11609.0;11609.0;0.0
012089;4018.0;4018.0;0.0
012090;51729.0;51729.0;0.0
012091;9800.0;27461.0;17661.0
012092;33448.0;33448.0;0.0
012093;40936.0;40936.0;0.0
012095;24736.0;25232.0;496.0
012096;59910.0;59910.0;0.0
012099;896.0;896.0;0.0
012100;15660.0;15660.0;0.0
012101;19428.0;19428.0;0.0
012104;60328.0;60328.0;0.0
012105;43104.0;49829.0;6725.0
012106;76861.0;81487.0;4626.0
012107;1754.0;1754.0;0.0
012109;12587.0;12587.0;0.0
012110;35172.0;35172.0;0.0
012112;29570.0;29570.0;0.0
012113;21160.0;21221.0;61.0
012114;26274.0;26274.0;0.0
012117;7281.0;32929.0;25648.0
012118;1276.0;13867.0;12591.0
012135;15345.0;25944.0;10599.0
012141;613.0;613.0;0.0
012142;16551.0;16551.0;0.0
012143;550.0;550.0;0.0
012145;320.0;352.0;32.0
012146;735.0;735.0;0.0
012147;1055.0;1055.0;0.0
012148;2228.0;2583.0;355.0
012150;4906.0;4906.0;0.0
012156;6100.0;6100.0;0.0
012157;14388.0;14409.0;21.0
012161;38653.0;38822.0;169.0
012164;2038.0;2038.0;0.0
012165;3356.0;3356.0;0.0
012172;17160.0;17160.0;0.0
012173;18375.0;26890.0;8515.0
013001;58963.0;58966.0;3.0
013002;322.0;322.0;0.0
013003;13929.0;26561.0;12632.0
013006;36134.0;52830.0;16696.0
013010;626.0;626.0;0.0
013011;50915.0;50915.0;0.0
013012;101510.0;101510.0;0.0
013013;62999.0;62999.0;0.0
013014;55125.0;55125.0;0.0
013015;112645.0;114150.0;1505.0
013016;72438.0;109799.0;37361.0
013017;9411.0;17713.0;8302.0
013018;66727.0;66766.0;39.0
013019;77270.0;77271.0;1.0
013020;38757.0;82388.0;43631.0
013021;51893.0;51893.0;0.0
013022;82102.0;95820.0;13718.0
013023;71768.0;76563.0;4795.0
013024;37059.0;68769.0;31710.0
013026;31539.0;31539.0;0.0
013027;34531.0;34531.0;0.0
013028;9956.0;9956.0;0.0
013029;109315.0;109316.0;1.0
013030;75207.0;75210.0;3.0
013031;56538.0;63008.0;6470.0
013033;49947.0;64796.0;14849.0
013034;150903.0;151379.0;476.0
013035;115346.0;115350.0;4.0
013037;24137.0;24137.0;0.0
013039;6136.0;6136.0;0.0
013040;45494.0;76966.0;31472.0
013041;94206.0;94303.0;97.0
013042;10119.0;10119.0;0.0
013046;7663.0;7663.0;0.0
013047;21402.0;39079.0;17677.0
013048;81133.0;82240.0;1107.0
013050;4079.0;4079.0;0.0
013053;21210.0;21210.0;0.0
013054;8121.0;8221.0;100.0
013055;14989.0;14989.0;0.0
013059;43757.0;57079.0;13322.0
013061;103068.0;103068.0;0.0
013062;1747.0;1747.0;0.0
013063;4478.0;4478.0;0.0
013065;30620.0;41861.0;11241.0
013066;73144.0;73144.0;0.0
013067;1607.0;1607.0;0.0
013068;2826.0;2826.0;0.0
013069;1610.0;1610.0;0.0
014001;76369.0;76369.0;0.0
014002;67567.0;67662.0;95.0
014004;56332.0;56344.0;12.0
014005;34899.0;34899.0;0.0
014006;43057.0;49295.0;6238.0
014007;7361.0;13867.0;6506.0
014009;54805.0;54805.0;0.0
014010;76217.0;84727.0;8510.0
014011;18218.0;18218.0;0.0
014013;21305.0;21344.0;39.0
014014;126983.0;126983.0;0.0
014015;71826.0;82676.0;10850.0
014016;24938.0;24986.0;48.0
014017;51280.0;51280.0;0.0
014018;49465.0;60045.0;10580.0
014019;87045.0;87249.0;204.0
014020;50413.0;50428.0;15.0
014024;34813.0;34813.0;0.0
014025;23011.0;23011.0;0.0
014026;38396.0;38396.0;0.0
014027;30074.0;30074.0;0.0
014028;52994.0;52994.0;0.0
014029;52921.0;53106.0;185.0
014030;86759.0;86759.0;0.0
014035;19039.0;19039.0;0.0
014036;29625.0;29625.0;0.0
014037;103445.0;107980.0;4535.0
014038;105012.0;105027.0;15.0
014039;106395.0;109949.0;3554.0
014046;31816.0;34598.0;2782.0
014048;49938.0;49938.0;0.0
014049;30064.0;36958.0;6894.0
014050;47991.0;68401.0;20410.0
014056;20687.0;20687.0;0.0
014057;28771.0;28771.0;0.0
014059;73788.0;73788.0;0.0
014060;95317.0;95317.0;0.0
014061;43152.0;56869.0;13717.0
014064;29332.0;29332.0;0.0
014065;43109.0;52287.0;9178.0
014066;44286.0;49680.0;5394.0
014067;38059.0;38059.0;0.0
014068;67875.0;67905.0;30.0
014069;91734.0;91737.0;3.0
014073;37547.0;37547.0;0.0
014074;62519.0;62546.0;27.0
014075;84271.0;90091.0;5820.0
014076;8131.0;8131.0;0.0
014077;19976.0;19976.0;0.0
014078;69786.0;69793.0;7.0
014084;46369.0;46393.0;24.0
014085;55140.0;55140.0;0.0
014086;90371.0;90432.0;61.0
014087;3114.0;3114.0;0.0
014088;24460.0;37905.0;13445.0
014095;42957.0;50147.0;7190.0
014102;84051.0;85295.0;1244.0
014103;24038.0;24038.0;0.0
015001;29502.0;29502.0;0.0
015002;45913.0;59795.0;13882.0
015003;84637.0;90439.0;5802.0
015006;80873.0;80873.0;0.0
015007;58972.0;58972.0;0.0
015008;36257.0;49771.0;13514.0
015009;54110.0;54110.0;0.0
015010;482.0;482.0;0.0
015011;1412.0;1412.0;0.0
015012;432.0;432.0;0.0
015013;500.0;500.0;0.0
015014;48544.0;48574.0;30.0
015015;19718.0;27265.0;7547.0
